# GASP-derived aerodynamics data converted from GASP_aero_ground.txt
# Incremental Lift and Drag Coeff. for Ground Effects
# Reference Area = 1370. sqft / Flap Deflection = 10 deg (T.O. Setting)

Mach, Angle of Attack (deg),        Hob,   Delta CL,   Delta CD
 0.2,                  10.0,        0.1,    0.17906,   -0.02444
 0.2,                  10.0,        0.2,    0.11692,   -0.01178
 0.2,                  10.0,        0.3,    0.07657,   -0.00655
 0.2,                  10.0,        0.4,    0.05078,     -0.004
 0.2,                  10.0,        0.5,    0.03405,    -0.0026
 0.2,                  10.0,        0.6,    0.02301,   -0.00178
 0.2,                  10.0,        0.8,    0.01062,   -0.00092
 0.2,                  10.0,        1.0,    0.00484,   -0.00053
 0.2,                  10.0,        1.5,    0.00035,   -0.00018
 0.2,                  10.0,        2.0,        0.0,     -5e-05
 0.2,                  10.0,        3.0,        0.0,       -0.0
 0.2,                  12.0,       0.05,    0.23844,   -0.04991
 0.2,                  12.0,        0.1,    0.19661,   -0.03191
 0.2,                  12.0,        0.2,    0.13184,   -0.01524
 0.2,                  12.0,        0.3,    0.08693,   -0.00843
 0.2,                  12.0,        0.4,    0.05774,   -0.00513
 0.2,                  12.0,        0.5,    0.03867,   -0.00334
 0.2,                  12.0,        0.6,    0.02606,   -0.00229
 0.2,                  12.0,        0.8,    0.01189,    -0.0012
 0.2,                  12.0,        1.0,    0.00529,    -0.0007
 0.2,                  12.0,        1.5,    0.00022,   -0.00025
 0.2,                  12.0,        2.0,        0.0,     -6e-05
 0.2,                  12.0,        3.0,        0.0,       -0.0
 0.2,                  14.0,       0.05,    0.23791,   -0.06395
 0.2,                  14.0,        0.1,     0.2098,    -0.0407
 0.2,                  14.0,        0.2,    0.14496,   -0.01932
 0.2,                  14.0,        0.3,    0.09628,   -0.01066
 0.2,                  14.0,        0.4,    0.06405,   -0.00649
 0.2,                  14.0,        0.5,    0.04286,   -0.00423
 0.2,                  14.0,        0.6,    0.02879,   -0.00291
 0.2,                  14.0,        0.8,    0.01297,   -0.00154
 0.2,                  14.0,        1.0,    0.00562,   -0.00092
 0.2,                  14.0,        1.5,      4e-05,   -0.00034
 0.2,                  14.0,        2.0,        0.0,     -8e-05
 0.2,                  14.0,        3.0,        0.0,       -0.0
 0.2,                  16.0,       0.05,    0.22773,   -0.08024
 0.2,                  16.0,        0.1,    0.21861,   -0.05091
 0.2,                  16.0,        0.2,    0.15628,   -0.02409
 0.2,                  16.0,        0.3,    0.10463,   -0.01327
