#
#  Clean / Free Air Aerodynamics
#  Reference Area = 1370. sqft
#  Altitude  Mach   ALPHA   CLTOT     CD
#    (ft)     (-)   (deg)    (-)     (-)
#
 12000.0    0.60    18.0  1.9544  0.16404
 12000.0    0.60    18.1  1.9677  0.16608
 12000.0    0.70    -2.0 -0.0863  0.01619
 12000.0    0.70     0.0  0.1295  0.01654
 12000.0    0.70     2.0  0.3454  0.02049
 12000.0    0.70     4.0  0.5613  0.02802
 12000.0    0.70     6.0  0.7771  0.03913
 12000.0    0.70     8.0  0.9930  0.05383
 12000.0    0.70    10.0  1.2089  0.07226
 12000.0    0.70    12.0  1.4247  0.09537
 12000.0    0.70    14.0  1.6406  0.12437
 12000.0    0.70    16.0  1.8565  0.16046
 12000.0    0.70    16.9  1.9562  0.17986
 12000.0    0.70    16.9  1.9562  0.17986
 12000.0    0.75    -2.0 -0.0896  0.01601
 12000.0    0.75     0.0  0.1343  0.01640
 12000.0    0.75     2.0  0.3582  0.02063
 12000.0    0.75     4.0  0.5822  0.02871
 12000.0    0.75     6.0  0.8061  0.04077
 12000.0    0.75     8.0  1.0300  0.05783
 12000.0    0.75    10.0  1.2539  0.08122
 12000.0    0.75    12.0  1.4778  0.11229
 12000.0    0.75    14.0  1.7017  0.15239
 12000.0    0.75    16.0  1.9256  0.20285
 12000.0    0.75    16.2  1.9488  0.20874
 12000.0    0.75    16.2  1.9488  0.20874
 12000.0    0.80    -2.0 -0.0935  0.01585
 12000.0    0.80     0.0  0.1402  0.01627
 12000.0    0.80     2.0  0.3740  0.02094
 12000.0    0.80     4.0  0.6077  0.03083
 12000.0    0.80     6.0  0.8414  0.04744
