#
# Incremental Lift and Drag Coeff. for Ground Effects
# Reference Area = 1370. sqft / Flap Deflection = 10 deg (T.O. Setting)
#     MACH   ALPHA     HOB   DEL_CL   DEL_CD
#      (-)   (deg)     (-)     (-)      (-)
#
     0.40   -2.00    1.00 -0.00053 -0.00004
     0.40   -2.00    1.50 -0.00010 -0.00001
     0.40   -2.00    2.00 -0.00002 -0.00000
     0.40   -2.00    3.00  0.00000 -0.00000
     0.40    0.00    0.05  0.04169 -0.00441
     0.40    0.00    0.10  0.02732 -0.00314
     0.40    0.00    0.20  0.01613 -0.00179
     0.40    0.00    0.30  0.01028 -0.00110
     0.40    0.00    0.40  0.00677 -0.00072
     0.40    0.00    0.50  0.00456 -0.00048
     0.40    0.00    0.60  0.00312 -0.00033
     0.40    0.00    0.80  0.00151 -0.00016
     0.40    0.00    1.00  0.00075 -0.00008
     0.40    0.00    1.50  0.00013 -0.00002
     0.40    0.00    2.00  0.00001 -0.00000
     0.40    0.00    3.00  0.00000 -0.00000
     0.40    2.00    0.05  0.10277 -0.00826
     0.40    2.00    0.10  0.06906 -0.00566
     0.40    2.00    0.20  0.04145 -0.00301
     0.40    2.00    0.30  0.02654 -0.00179
     0.40    2.00    0.40  0.01751 -0.00113
     0.40    2.00    0.50  0.01178 -0.00075
