#
#  Clean / Free Air Aerodynamics
#  Copy of GASP_aero_free.txt with alpha above 10 removed
#  Reference Area = 1370. sqft
#  Altitude  Mach   ALPHA   CLTOT     CD
#    (ft)     (-)   (deg)    (-)     (-)
#
 21000.0    0.20     2.0  0.2896  0.02298
 21000.0    0.20     4.0  0.4706  0.02850
 21000.0    0.20     6.0  0.6517  0.03663
 21000.0    0.20     8.0  0.8327  0.04740
 21000.0    0.20    10.0  1.0137  0.06079
 21000.0    0.40    -2.0 -0.0754  0.01811
 21000.0    0.40     0.0  0.1131  0.01839
 21000.0    0.40     2.0  0.3016  0.02146
 21000.0    0.40     4.0  0.4901  0.02733
 21000.0    0.40     6.0  0.6786  0.03600
 21000.0    0.40     8.0  0.8670  0.04745
 21000.0    0.40    10.0  1.0555  0.06171
 21000.0    0.50    -2.0 -0.0779  0.01755
 21000.0    0.50     0.0  0.1169  0.01785
 21000.0    0.50     2.0  0.3117  0.02111
 21000.0    0.50     4.0  0.5065  0.02734
 21000.0    0.50     6.0  0.7013  0.03654
 21000.0    0.50     8.0  0.8961  0.04870
 21000.0    0.50    10.0  1.0909  0.06383
 21000.0    0.60    -2.0 -0.0814  0.01708
 21000.0    0.60     0.0  0.1221  0.01741
 21000.0    0.60     2.0  0.3257  0.02095
 21000.0    0.60     4.0  0.5293  0.02771
 21000.0    0.60     6.0  0.7329  0.03770
 21000.0    0.60     8.0  0.9365  0.05091
 21000.0    0.60    10.0  1.1401  0.06734
 21000.0    0.70    -2.0 -0.0863  0.01668
 21000.0    0.70     0.0  0.1295  0.01704
 21000.0    0.70     2.0  0.3454  0.02100
 21000.0    0.70     4.0  0.5613  0.02857
 21000.0    0.70     6.0  0.7771  0.03974
 21000.0    0.70     8.0  0.9930  0.05451
 21000.0    0.70    10.0  1.2089  0.07304
 21000.0    0.75    -2.0 -0.0896  0.01649
 21000.0    0.75     0.0  0.1343  0.01688
 21000.0    0.75     2.0  0.3582  0.02113
 21000.0    0.75     4.0  0.5822  0.02925
 21000.0    0.75     6.0  0.8061  0.04138
 21000.0    0.75     8.0  1.0300  0.05851
 21000.0    0.75    10.0  1.2539  0.08200
 21000.0    0.80    -2.0 -0.0935  0.01632
 21000.0    0.80     0.0  0.1402  0.01674
 21000.0    0.80     2.0  0.3740  0.02144
 21000.0    0.80     4.0  0.6077  0.03137
 21000.0    0.80     6.0  0.8414  0.04804
 21000.0    0.80     8.0  1.0751  0.07300
 21000.0    0.80    10.0  1.3089  0.10776
 21000.0    0.85    -2.0 -0.0984  0.01617
 21000.0    0.85     0.0  0.1476  0.01732
 21000.0    0.85     2.0  0.3936  0.02547
 21000.0    0.85     4.0  0.6396  0.04241
 21000.0    0.85     6.0  0.8855  0.06993
 21000.0    0.85     8.0  1.1315  0.10981
 21000.0    0.85    10.0  1.3775  0.16383
 21000.0    0.90    -2.0 -0.1047  0.01810
 21000.0    0.90     0.0  0.1571  0.02439
 21000.0    0.90     2.0  0.4188  0.04194
 21000.0    0.90     4.0  0.6806  0.07290
 21000.0    0.90     6.0  0.9424  0.11943
 21000.0    0.90     8.0  1.2041  0.18367
 21000.0    0.90    10.0  1.4659  0.26777
