# created 04/22/25
# FLOPS-derived engine deck converted from turbofan_28_ENGDEK

Mach Number, Altitude (ft),   Throttle, Gross Thrust (lbf), Ram Drag (lbf), Fuel Flow (lb/h), NOx Rate (lb/h)
       0.25,        2000.0,       42.0,            25278.1,         7944.4,           6705.3,          30.749
       0.25,        2000.0,       46.0,            28960.8,         8474.8,           8057.1,          61.504
       0.25,        2000.0,       48.0,            30782.4,         8720.7,           8773.3,          71.978
       0.25,        2000.0,       50.0,            32590.3,         8953.2,           9529.4,          79.171
       0.25,        5000.0,       21.0,             4146.8,         3089.4,            787.7,          5.8398
       0.25,        5000.0,       22.0,             5122.4,         3430.7,            992.0,          5.6074
       0.25,        5000.0,       24.0,             6949.9,         3989.3,           1411.0,          7.7697
       0.25,        5000.0,       26.0,             8681.0,         4451.7,           1835.5,          9.5548
       0.25,        5000.0,       30.0,            12342.2,         5293.4,           2795.6,          13.576
       0.25,        5000.0,       34.0,            15850.1,         5981.6,           3803.0,          16.482
       0.25,        5000.0,       38.0,            19266.4,         6578.4,           4836.6,          18.932
       0.25,        5000.0,       42.0,            22617.1,         7109.4,           5925.2,          21.995
       0.25,        5000.0,       46.0,            25911.5,         7584.2,           7117.3,          49.402
       0.25,        5000.0,       48.0,            27541.0,         7804.3,           7748.5,          62.576
       0.25,        5000.0,       50.0,            29158.9,         8012.2,           8415.7,          72.732
       0.25,       10000.0,       21.0,             3424.9,         2551.5,            652.1,          8.6939
       0.25,       10000.0,       22.0,             4231.3,         2833.9,            816.4,          5.6904
       0.25,       10000.0,       24.0,             5741.3,         3295.8,           1153.9,          6.5846
       0.25,       10000.0,       26.0,             7171.8,         3678.2,           1496.8,          8.3269
       0.25,       10000.0,       30.0,            10196.9,         4374.2,           2270.9,          12.094
       0.25,       10000.0,       34.0,            13095.1,         4943.3,           3083.3,          14.918
       0.25,       10000.0,       38.0,            15917.5,         5436.7,           3916.9,          17.295
       0.25,       10000.0,       42.0,            18685.9,         5875.8,           4794.1,          19.414
       0.25,       10000.0,       46.0,            21407.5,         6268.5,           5754.5,          25.017
       0.25,       10000.0,       48.0,            22754.0,         6450.6,           6263.1,          38.869
       0.25,       10000.0,       50.0,            24090.7,         6622.7,           6801.4,          55.311
