# created 04/22/25
# GASP_TS-derived engine deck converted from MAPS_1120hp.eng
# t4max: 50.0
# t4cruise: 46.67
# t4climb: 48.33
# t4flight_idle: 20.0
# xsfc: 0.0
# cexp: 0.0
# sls_horsepower: 1120.0
# freeturbine_rpm: 24539.0
# propeller_rpm: 1210.0
# gearbox_ratio: 0.049308
# torque_limit: 4861.4
# sls_corrected_airflow: 7.9568

Mach Number, Altitude (ft),   Throttle, Shaft Power Corrected (hp), Fuel Flow (lb/h)
       0.15,        1500.0,       40.0,                    657.886,          442.152
        0.2,        1500.0,       40.0,                    648.815,          433.743
       0.25,        1500.0,       40.0,                      637.4,            423.2
        0.3,        1500.0,       40.0,                    623.736,          410.616
       0.35,        1500.0,       40.0,                    608.069,          396.385
        0.4,        1500.0,       40.0,                      590.6,            380.7
       0.45,        1500.0,       40.0,                    571.541,           363.69
        0.5,        1500.0,       40.0,                      551.1,            345.5
       0.55,        1500.0,       40.0,                    529.487,          326.276
        0.6,        1500.0,       40.0,                     506.91,          306.162
        0.0,        1500.0,       42.0,                    727.216,          479.057
       0.05,        1500.0,       42.0,                    725.815,          477.737
        0.1,        1500.0,       42.0,                    721.441,          473.734
       0.15,        1500.0,       42.0,                    714.241,          467.206
        0.2,        1500.0,       42.0,                    704.358,          458.311
       0.25,        1500.0,       42.0,                    691.938,          447.207
        0.3,        1500.0,       42.0,                    677.115,          434.032
       0.35,        1500.0,       42.0,                    660.083,          419.098
        0.4,        1500.0,       42.0,                     641.08,          402.615
       0.45,        1500.0,       42.0,                    620.397,          384.766
        0.5,        1500.0,       42.0,                     598.31,          365.743
       0.55,        1500.0,       42.0,                    575.098,          345.734
        0.6,        1500.0,       42.0,                    551.036,          324.931
        0.0,        1500.0,       44.0,                    784.802,          504.794
       0.05,        1500.0,       44.0,                    783.261,          503.448
        0.1,        1500.0,       44.0,                    778.536,          499.281
       0.15,        1500.0,       44.0,                    770.773,          492.455
        0.2,        1500.0,       44.0,                    760.116,          483.133
       0.25,        1500.0,       44.0,                    746.711,          471.478
        0.3,        1500.0,       44.0,                    730.682,          457.628
       0.35,        1500.0,       44.0,                    712.314,          441.917
        0.4,        1500.0,       44.0,                    691.847,          424.582
       0.45,        1500.0,       44.0,                    669.533,          405.849
        0.5,        1500.0,       44.0,                    645.622,          385.947
       0.55,        1500.0,       44.0,                    620.362,          365.103
        0.6,        1500.0,       44.0,                    594.003,          343.547
        0.0,        1500.0,       46.0,                    841.998,          530.406
       0.05,        1500.0,       46.0,                    840.365,          528.958
        0.1,        1500.0,       46.0,                    835.319,          524.581
       0.15,        1500.0,       46.0,                    827.013,           517.44
        0.2,        1500.0,       46.0,                      815.6,          507.701
       0.25,        1500.0,       46.0,                    801.233,          495.528
        0.3,        1500.0,       46.0,                    784.045,          481.058
       0.35,        1500.0,       46.0,                    764.331,          464.657
        0.4,        1500.0,       46.0,                    742.353,          446.557
       0.45,        1500.0,       46.0,                     718.39,          426.952
        0.5,        1500.0,       46.0,                    692.717,          406.047
       0.55,        1500.0,       46.0,                    665.608,          384.046
        0.6,        1500.0,       46.0,                    637.338,          361.152
        0.0,        1500.0,       48.0,                    899.584,          556.148
       0.05,        1500.0,       48.0,                    897.873,          554.658
        0.1,        1500.0,       48.0,                    892.466,          550.088
       0.15,        1500.0,       48.0,                    883.553,          542.618
        0.2,        1500.0,       48.0,                    871.319,          532.429
       0.25,        1500.0,       48.0,                    855.954,          519.701
        0.3,        1500.0,       48.0,                    837.637,          504.591
       0.35,        1500.0,       48.0,                    816.599,          487.461
        0.4,        1500.0,       48.0,                    793.115,          468.559
       0.45,        1500.0,       48.0,                    767.502,          448.111
        0.5,        1500.0,       48.0,                    740.068,          426.348
       0.55,        1500.0,       48.0,                     711.12,          403.501
        0.6,        1500.0,       48.0,                    680.965,          379.802
        0.0,        1500.0,       50.0,                      956.9,            581.8
       0.05,        1500.0,       50.0,                    955.029,          580.243
        0.1,        1500.0,       50.0,                      949.3,            575.5
       0.15,        1500.0,       50.0,                    939.877,          567.746
        0.2,        1500.0,       50.0,                    926.923,          557.155
       0.25,        1500.0,       50.0,                      910.6,            543.9
        0.3,        1500.0,       50.0,                    891.036,          528.117
       0.35,        1500.0,       50.0,                     868.64,          510.273
        0.4,        1500.0,       50.0,                      843.7,            490.6
       0.45,        1500.0,       50.0,                    816.493,          469.252
        0.5,        1500.0,       50.0,                      787.3,            446.4
       0.55,        1500.0,       50.0,                    756.401,          422.218
        0.6,        1500.0,       50.0,                    724.077,          396.878
        0.0,        3000.0,       20.0,                      101.8,            192.7
       0.05,        3000.0,       20.0,                    101.538,          192.092
        0.1,        3000.0,       20.0,                      100.9,            190.2
       0.15,        3000.0,       20.0,                    99.8935,          187.102
        0.2,        3000.0,       20.0,                    98.5247,          182.876
       0.25,        3000.0,       20.0,                       96.8,            177.6
        0.3,        3000.0,       20.0,                     94.718,          171.351
       0.35,        3000.0,       20.0,                     92.342,          164.206
        0.4,        3000.0,       20.0,                       89.7,            156.3
       0.45,        3000.0,       20.0,                     86.812,          147.809
        0.5,        3000.0,       20.0,                       83.7,            138.9
       0.55,        3000.0,       20.0,                    80.3861,          129.738
        0.6,        3000.0,       20.0,                    76.8922,           120.49
        0.0,        3000.0,       22.0,                    162.929,          223.314
       0.05,        3000.0,       22.0,                    162.645,          222.592
        0.1,        3000.0,       22.0,                    161.654,           220.49
       0.15,        3000.0,       22.0,                    160.009,          217.078
        0.2,        3000.0,       22.0,                    157.767,          212.422
       0.25,        3000.0,       22.0,                    154.982,          206.591
        0.3,        3000.0,       22.0,                    151.728,          199.637
       0.35,        3000.0,       22.0,                    147.926,          191.723
        0.4,        3000.0,       22.0,                    143.636,          182.962
       0.45,        3000.0,       22.0,                     138.97,          173.467
        0.5,        3000.0,       22.0,                    134.028,          163.348
       0.55,        3000.0,       22.0,                     128.91,          152.718
        0.6,        3000.0,       22.0,                    123.715,          141.688
        0.0,        3000.0,       24.0,                    223.924,          252.576
       0.05,        3000.0,       24.0,                    223.503,          251.789
        0.1,        3000.0,       24.0,                    222.147,          249.494
       0.15,        3000.0,       24.0,                    219.913,          245.758
        0.2,        3000.0,       24.0,                    216.858,          240.649
       0.25,        3000.0,       24.0,                    213.041,          234.234
        0.3,        3000.0,       24.0,                     208.53,          226.557
       0.35,        3000.0,       24.0,                    203.289,          217.851
        0.4,        3000.0,       24.0,                    197.398,          208.242
       0.45,        3000.0,       24.0,                    190.993,          197.832
        0.5,        3000.0,       24.0,                    184.194,          186.729
       0.55,        3000.0,       24.0,                    177.123,           175.04
        0.6,        3000.0,       24.0,                    169.901,          162.872
        0.0,        3000.0,       26.0,                    284.876,           280.87
       0.05,        3000.0,       26.0,                    284.277,          280.038
        0.1,        3000.0,       26.0,                    282.553,          277.552
       0.15,        3000.0,       26.0,                    279.748,          273.487
        0.2,        3000.0,       26.0,                    275.902,          267.915
       0.25,        3000.0,       26.0,                    271.059,          260.912
        0.3,        3000.0,       26.0,                    265.253,          252.522
       0.35,        3000.0,       26.0,                    258.568,          243.029
        0.4,        3000.0,       26.0,                    251.102,           232.58
       0.45,        3000.0,       26.0,                    242.976,          221.291
        0.5,        3000.0,       26.0,                    234.306,          209.285
       0.55,        3000.0,       26.0,                    225.206,          196.686
        0.6,        3000.0,       26.0,                    215.791,          183.617
        0.0,        3000.0,       28.0,                      345.9,          308.624
       0.05,        3000.0,       28.0,                    345.197,          307.719
        0.1,        3000.0,       28.0,                    343.119,          305.025
       0.15,        3000.0,       28.0,                    339.718,          300.626
        0.2,        3000.0,       28.0,                    335.044,          294.605
       0.25,        3000.0,       28.0,                     329.15,          287.046
        0.3,        3000.0,       28.0,                    322.073,          278.004
       0.35,        3000.0,       28.0,                    313.955,          267.777
        0.4,        3000.0,       28.0,                    304.909,          256.507
       0.45,        3000.0,       28.0,                    295.054,          244.293
        0.5,        3000.0,       28.0,                    284.508,          231.247
       0.55,        3000.0,       28.0,                    273.389,          217.477
        0.6,        3000.0,       28.0,                    261.816,          203.096
        0.0,        3000.0,       30.0,                      407.0,            336.1
       0.05,        3000.0,       30.0,                    406.231,          335.111
        0.1,        3000.0,       30.0,                      403.8,            332.2
       0.15,        3000.0,       30.0,                    399.783,          327.464
        0.2,        3000.0,       30.0,                    394.258,          320.999
       0.25,        3000.0,       30.0,                      387.3,            312.9
        0.3,        3000.0,       30.0,                    378.976,          303.239
