# created 04/22/25
# GASP_TS-derived engine deck converted from MAPS_1120hp.eng
# t4max: 50.0
# t4cruise: 46.67
# t4climb: 48.33
# t4flight_idle: 20.0
# xsfc: 0.0
# cexp: 0.0
# sls_horsepower: 1120.0
# freeturbine_rpm: 24539.0
# propeller_rpm: 1210.0
# gearbox_ratio: 0.049308
# torque_limit: 4861.4
# sls_corrected_airflow: 7.9568

Mach Number, Altitude (ft),   Throttle, Shaft Power Corrected (hp), Tailpipe Thrust (lbf), Fuel Flow (lb/h)
       0.15,        1500.0,       20.0,                     93.989,               7.12979,          181.838
        0.2,        1500.0,       20.0,                    92.7253,              -2.22695,          177.677
       0.25,        1500.0,       20.0,                       91.1,                 -11.4,            172.5
        0.3,        1500.0,       20.0,                    89.0799,              -20.3089,          166.387
       0.35,        1500.0,       20.0,                    86.8431,               -28.962,          159.419
        0.4,        1500.0,       20.0,                       84.4,                 -37.3,            151.7
       0.45,        1500.0,       20.0,                    81.6979,              -45.2387,          143.354
        0.5,        1500.0,       20.0,                       78.7,                 -52.7,            134.5
       0.55,        1500.0,       20.0,                    75.3693,              -59.6061,          125.257
        0.6,        1500.0,       20.0,                    71.6689,              -65.8789,          115.744
        0.0,        1500.0,       22.0,                    153.244,               41.5221,          216.562
       0.05,        1500.0,       22.0,                    152.965,               31.4738,          215.965
        0.1,        1500.0,       22.0,                     152.04,               21.4104,          213.922
       0.15,        1500.0,       22.0,                    150.511,               11.3897,          210.539
        0.2,        1500.0,       22.0,                    148.416,               1.46973,          205.924
       0.25,        1500.0,       22.0,                    145.795,              -8.29149,          200.182
        0.3,        1500.0,       22.0,                    142.693,              -17.8421,           193.43
       0.35,        1500.0,       22.0,                    139.099,              -27.0749,          185.693
        0.4,        1500.0,       22.0,                    135.072,              -35.9339,          177.096
       0.45,        1500.0,       22.0,                    130.709,              -44.3857,          167.813
        0.5,        1500.0,       22.0,                    126.099,              -52.3911,          158.003
       0.55,        1500.0,       22.0,                    121.331,               -59.911,          147.829
        0.6,        1500.0,       22.0,                    116.491,              -66.9061,           137.45
        0.0,        1500.0,       24.0,                    210.602,               47.3391,           244.57
       0.05,        1500.0,       24.0,                    210.212,               36.7927,          243.902
        0.1,        1500.0,       24.0,                    208.946,               26.2052,          241.676
       0.15,        1500.0,       24.0,                    206.853,               15.6433,          237.992
        0.2,        1500.0,       24.0,                     203.98,               5.17398,           232.95
       0.25,        1500.0,       24.0,                    200.377,              -5.13584,           226.65
        0.3,        1500.0,       24.0,                    196.095,              -15.2246,          219.184
       0.35,        1500.0,       24.0,                    191.153,              -24.9799,          210.687
        0.4,        1500.0,       24.0,                     185.63,              -34.3432,          201.293
       0.45,        1500.0,       24.0,                    179.642,               -43.281,          191.147
        0.5,        1500.0,       24.0,                    173.296,              -51.7538,          180.392
       0.55,        1500.0,       24.0,                    166.697,              -59.7219,          169.173
        0.6,        1500.0,       24.0,                    159.953,              -67.1456,          157.631
        0.0,        1500.0,       26.0,                    267.898,               53.0851,          271.677
       0.05,        1500.0,       26.0,                    267.367,               42.0812,          270.898
